NU_MATRICULA_EFPC;ID_DEMONSTRACAO_ATUARIAL;NU_CNPB_PLANO_DA;QTD_PART_ATIVOS;VR_FOLHA_SAL;QTD_GRUPOS
2018;2682858;2016001811;377;52656938.74;1
2018;2683042;1980001065;294;15130624.73;1
2021;2671329;1979001138;12;1209702.65;1
2021;2677366;2013001118;1053;33778.95;1
2021;2677509;1991001274;5664;755031162.2;2
2052;2661004;1990000983;103;50438061;1
2066;2652576;1974000192;8343;59464966.79;1
2071;2678801;1986000583;563;63916689.24;1
2071;2678803;1997003465;1;0;1
2083;2659679;1995002356;0;0;1
2083;2659681;1973000156;10;229068.3;1
2083;2659913;2000008283;17937;728411248;1
2083;2659919;2012000274;393;19760385.36;1
2083;2662437;2020001438;0;0;1
2083;2669182;2020000229;4615;206678373;2
2083;2669199;2011002192;468;38485288;4
2083;2669203;2011002265;1430;148169773;4
2083;2682914;2019002329;7203;0;1
2083;3031030;1999005211;74603;4629511746;2
2107;2615041;1980001138;363;2399214.99;2
2141;2683093;1980001219;0;0;1
2155;2683115;1985000938;2302;293435861;1
2169;2676239;1972000111;1;276401.58;1
2169;2947228;1999000374;1248;125992406.3;1
2172;2685013;1988003229;179;0;1
2172;2690143;2005005592;653;120076969.9;1
2172;2690147;2020000865;115;20650140.68;1
2191;2682991;1992000719;2106;205797896;1
2213;2688309;1991002483;4675;235742389.9;6
2231;2682886;2010002229;9018;670054703.8;1
2231;2682888;2012001947;820;107980180.6;1
2231;2682891;2019003074;3812;116371258.4;1
2231;2682893;2013001665;166;26668736.55;1
2231;2682895;2011001218;134;14373492.77;1
2231;2682897;2008003019;83;11090987.83;1
2231;2682901;2018002074;374;0;1
2231;2682942;2010002474;696;0;1
2231;2683002;1982002883;87;4485120.64;1
2231;2683006;2014001383;8;0;1
2231;2683008;1994001518;4;176277.53;1
2231;2683010;1982002719;25;0;1
2231;2683012;1992000956;348;0;1
2258;2684387;2007003211;1218;91814171.04;2
2258;2684393;2019003392;39;2630685.84;1
2258;2684399;2019003147;72;5077360.2;1
2258;2684415;2014000719;1234;130674879.2;3
2258;2684779;1995003174;555;105881768.9;1
2258;2684786;2014001618;92;9227221.2;1
2258;2684816;2016001119;142;10995116;1
2258;2685043;1993002847;210;29822313.56;1
